DIVISION_NAME,DISTRICT_NAME,THANA_NAME,EIIN,INSTITUTE_NAME,VILL_ROAD,POST_OFFICE,MANAGEMENT,ISNTITUTION_TYPE,MOBILE
Barisal,Barguna,Amtali,100112,GOVT. AMTALI DEGREE COLLEGE,COLLEGE ROAD | AMTALI,AMTALI,Govt.,College,01749718415
Barisal,Barguna,Amtali,100113,BAKUL NESSA MOHILA COLLEGE,MOHILA COLLEGE ROAD,AMTALI,Non-Govt,College,01719661206
Barisal,Barguna,Amtali,100111,EUNUS ALI KHAN DEGREE COLLEGE,KALIBARI,HAT-CHUNAKHALI,Non-Govt,College,01646182652
Barisal,Barguna,Amtali,100115,TIAKHALI COLLEGE,UTTAR TIAKHALI,CHALAVANGA,Non-Govt,College,01309100115
Barisal,Barguna,Amtali,134876,DR. MD. SHAHIDUL ISLAM COLLEGE,CHARAKGACHIA,PANCHAKORALIA,Non-Govt,College,01725960817
Barisal,Barguna,Bamna,100143,BAMNA DEGREE COLLEGE,PURBO SOFIPUR,BAMNA,Govt.,College,01718622077
Barisal,Barguna,Bamna,100142,BEGUM FAIZUNNESA MOILA DEGREE COLLEGE | BAMNA,KALAGACHHIA | SADOR ROAD,BAMNA,Non-Govt,College,01715613443
Barisal,Barguna,Bamna,100141,HALTA DAWATALA WAZED ALI KHAN COLLEGE,DAWATALA,HALTA,Non-Govt,College,01715083373
Barisal,Barguna,Barguna Sadar,100242,BARGUNA GOVT. MOHILA COLLEGE,,BARGUNA,Govt.,College,01309100242
Barisal,Barguna,Barguna Sadar,100241,BARGUNA GOVT. COLLEGE,COLLEGE BRANCH ROAD | BARGUNA,BARGUNA COLLEGE,Govt.,College,01716030583
Barisal,Barguna,Barguna Sadar,100243,AILA COLLEGE,ADABARIA,ADABARIA,Non-Govt,College,01721115062
Barisal,Barguna,Barguna Sadar,100240,BARGUNA IDEAL COLLEGE,DAKHIN BARGUNA,BARGUNA,Non-Govt,College,01720622755
Barisal,Barguna,Barguna Sadar,137690,BARGUNA RESIDENTIAL MODEL COLLEGE,DAKSHIN MONSATALI,BARGUNA,Non-Govt,College,01715485289
Barisal,Barguna,Barguna Sadar,132006,GHATBARIA ADARSHA COLLEGE,GHATBARIA,HORIDRA BARIA,Non-Govt,College,01309132006
Barisal,Barguna,Barguna Sadar,100239,M. BALIATALI D.N. COLLEGE,BANNY,PARIRKHAL,Non-Govt,College,01703331037
Barisal,Barguna,Barguna Sadar,137692,BARGUNA NEW MODEL COLLEGE,COLLEGE ROAD,BARGUNA,Non-Govt,College,01712979402
Barisal,Barguna,Betagi,100296,GOVT. BETAGI COLLEGE,BETAGI,BETAGI,Govt.,College,01715309640
Barisal,Barguna,Betagi,100295,CHANDKHALI MOSHARRAF HOSSAIN COLLEGE,AYLA CHANDKHALI,AYELA CHANDKHALI,Non-Govt,College,01309100295
Barisal,Barguna,Betagi,100294,KAUNIA COLLEGE,KAUNIA,KAUNIA HAT,Non-Govt,College,01309100294
Barisal,Barguna,Betagi,100298,DR. ASMAT ALI COLLEGE,HOSNABAD,RAHIMABAD,Non-Govt,College,01309100298
