organization,country
J.C. Bose University of Science and Technology,India
Jaamacada Badweynta Hindiya,Somalia
Jaamacada Bariga Afrika,Somalia
Jaamacada Burco,Somalia
Jaamacada Eelo,Somalia
Jaamacada Gedo,Somalia
Jaamacada Golis,Somalia
Jaamacada Hargeysa,Somalia
Jaamacada Hiiraan,Somalia
Jaamacada Jamhuuriya ee Culuumta iyo Tiknooloojiyada,Somalia
Jaamacada Jazeera,Somalia
Jaamacada Kismaayo,Somalia
Jaamacada Koonfur Galbeed Soomaaliya,Somalia
Jaamacada Nugaal,Somalia
Jaamacada Plasma,Somalia
Jaamacada Ummada Soomaaliyeed,Somalia
Jaamacadda Banaadir,Somalia
Jaamacadda Caalamiga ah ee Horseed,Somalia
Jaamacadda Camuud,Somalia
Jaamacadda Culuumta Cafimadka,Somalia
Jaamacadda Hormuud,Somalia
Jaamacadda Jobkey,Somalia
Jaamacadda Juba ee Cilmiga iyo Tiknolojiyada,Somalia
Jaamacadda Muqdisho,Somalia
Jaamacadda Puntland State University,Somalia
Jaamacadda Salaam,Somalia
Jaamacadda Sayniska iyo Teknolojiyada Sanaag,Somalia
Jaamacadda SIMAD,Somalia
Jaamacadda Soomaaliya,Somalia
Jaamacadda Teknoolajiyadda Somaliland,Somalia
Jaamacadda Zamzam ee Culuumta iyo Tiknolojiyadda,Somalia
Jabir Ibn Hayyan Medical University,Iraq
Jackson State University,United States
Jacksonville State University,United States
Jacksonville University,United States
Jacobs University Bremen,Germany
Jadara University,Jordan
Jadavpur University,India
Jade Hochschule,Germany
Jagadguru Ramanandacharya Rajasthan Sanskrit University,India
Jagadguru Rambhadracharya Handicapped University,India
Jagan Nath University,India
Jagannath University,India
Jagran Lakecity University,India
Jahan E Noor Institute of Higher Education,Afghanistan
Jahan University,Afghanistan
Jahangirnagar University,Bangladesh
Jahon Iqtisodiyoti va Diplomatiya Universiteti,Uzbekistan
Jahrom university,Iran
Jahrom University of Medical Sciences,Iran
Jai Narain Vyas University,India
Jai Prakash Vishwavidyalaya,India
Jain University,India
Jain Vishva Bharati Institute,India
Jaipur National University,India
Jalal-Abad Oblast of Humanities and Education University,Kyrgyzstan
Jalalabad State University,Kyrgyzstan
Jam Music Lab Private University,Austria
James Cook University,Australia
James Madison University,United States
Jamestown Business College,United States
Jami Institute of Technology,Iran
Jamia Hamdard,India
Jamia Millia Islamia,India
Janáckova akademie múzických umení v Brne,Czech Republic
Jananayak Chandrashekhar University,India
Janardan Rai Nagar Rajasthan Vidhyapeeth University,India
Japan Advanced Institute of Science and Technology,Japan
Japan College of Social Work,Japan
Japan Lutheran College,Japan
Japan University of Economics,Japan
Japan Women's College of Physical Education,Japan
Japan Women's University,Japan
Japanese Red Cross Hokkaido College of Nursing,Japan
Japanese Red Cross Toyota College of Nursing,Japan
Jaramogi Oginga Odinga University of Science and Technology,Kenya
Jarvis Christian College,United States
Jatiya Kabi Kazi Nazrul Islam University,Bangladesh
Jawaharlal Institute of Postgraduate Medical Education and Research,India
Jawaharlal Nehru Architecture and Fine Arts University,India
Jawaharlal Nehru Centre for Advanced Scientific Research,India
Jawaharlal Nehru Krishi Vishwavidyalaya,India
Jawaharlal Nehru Technological University,India
"Jawaharlal Nehru Technological University, Anantapur",India
"Jawaharlal Nehru Technological University, Kakinada",India
Jawaharlal Nehru University,India
Jawzjan University,Afghanistan
Jayee University College,Ghana
Jayoti Vidyapeeth Women's University,India
Jaypee Institute of Information Technology,India
Jaypee University Anoopshahr,India
Jaypee University of Engineering and Technology,India
Jaypee University of Information Technology,India
Jazan University,Saudi Arabia
Jazepa Vitola Latvijas muzikas akademija,Latvia
JECRC University,India
Jeju International University,Korea
Jeju National University,Korea
Jeonju National University of Education,Korea
Jeonju University,Korea
Jerash Private University,Jordan
Jerusalem College of Engineering,Israel
Jerusalem College of Technology,Israel
Jessore University of Science and Technology,Bangladesh
Jesus University,Korea
Jharkhand Rai University,India
Jharkhand Raksha Shakti University,India
Jiamusi University,China
Jianghan University,China
Jiangnan University,China
Jiangsu Normal University,China
Jiangsu Second Normal University,China
Jiangsu Teachers University of Technology,China
Jiangsu University,China
Jiangsu University of Science and Technology,China
Jiangsu University of Technology,China
Jiangxi Agricultural University,China
Jiangxi Institute of Fashion Technology,China
Jiangxi Normal University,China
Jiangxi Science and Technology Normal University,China
Jiangxi University of Finance and Economics,China
Jiangxi University of Science and Technology,China
Jiangxi University of Technology,China
Jiangxi University of Traditional Chinese Medicine,China
Jiaxing University,China
Jiaying University,China
Jichi Medical University,Japan
Jigjiga University,Ethiopia
Jihoceská univerzita v Ceských Budejovicích,Czech Republic
Jikei University School of Medicine,Japan
Jilin Agricultural Science and Technology College,China
Jilin Agricultural University,China
Jilin Animation Institute,China
Jilin Business and Technology College,China
Jilin College of the Arts,China
Jilin Engineering Normal University,China
Jilin Institute of Chemical Technology,China
Jilin International Studies University,China
Jilin Jianzhu University,China
Jilin Medical University,China
Jilin Normal University,China
Jilin University,China
Jilin University of Finance and Economics,China
Jimei University,China
Jimma University,Ethiopia
Jin-ai University,Japan
Jinan University,China
Jinan University of Lebanon,Lebanon
Jingchu University of Technology,China
Jingdezhen Ceramic Institute,China
Jingdezhen University,China
Jinggangshan University,China
Jining Medical University,China
Jining Normal University,China
Jining University,China
Jinling Institute of Technology,China
Jinnah Sindh Medical University,Pakistan
Jinnah University for Women,Pakistan
Jinwen University of Science and Technology,Taiwan
Jinzhong University,China
Jinzhou Medical University,China
JIS University,India
Jishou University,China
Jissen Women's University,Japan
Jiujiang University,China
Jiwaji University,India
Jizzax Davlat Pedagogika Instituti,Uzbekistan
Jizzax Politexnika Instituti,Uzbekistan
JK Lakshmipat University,India
Jobu University,Japan
Jodhpur National University,India
Joetsu University of Education,Japan
Johannes Gutenberg-Universität Mainz,Germany
Johannes Kepler Universität Linz,Austria
John B. Lacson Foundation Maritime University,Philippines
John Brown University,United States
John Carroll University,United States
John F. Kennedy University,United States
John Garang Memorial University of Science and Technology,South Sudan
John Jay College of Criminal Justice,United States
John Paul the Great Catholic University,United States
Johns Hopkins University,United States
Johnson and Wales University,United States
Johnson C. Smith University,United States
Johnson University,United States
Jomo Kenyatta University of Agriculture and Technology,Kenya
"Jomo Kenyatta University of Agriculture and Technology, Kigali Campus",Rwanda
Jönköping University,Sweden
Joongang Sangha University,Korea
Joongbu University,Korea
Jordan Academy of Music,Jordan
Jordan University of Science and Technology,Jordan
Josai International University,Japan
Josai University,Japan
José Rizal University,Philippines
Joseph Ayo Babalola University,Nigeria
Joshibi University of Art and Design,Japan
JS University,India
JSS Academy of Higher Education and Research,India
JSS Science and Technology University,India
Judson College,United States
Judson University,United States
Julius-Maximilians-Universität Würzburg,Germany
Jumeira University,United Arab Emirates
Jumonji University,Japan
Junagadh Agricultural University,India
Jundi-Shapur University of Technology,Iran
Jungwon University,Korea
Juniata College,United States
Juntendo University,Japan
Justo Mwale University,Zambia
Justus-Liebig-Universität Giessen,Germany
Jyväskylän ammattikorkeakoulu,Finland
Jyväskylän yliopisto,Finland
D.A. Tsenov Academy of Economics,Bulgaria
Dadabhoy Institute of Higher Education,Pakistan
Daegu Arts University,Korea
Daegu Haany University,Korea
Daegu National University of Education,Korea
Daegu University,Korea
Daejeon University,Korea
Daejin University,Korea
Daemen College,United States
Daeshin University,Korea
Daeyang University,Malawi
Daffodil International University,Bangladesh
Dagestan State Agrarian University,Russia
Dagestan State Medical University,Russia
Dagestan State Pedagogical University,Russia
Dagestan State Technical University,Russia
Dagestan State University,Russia
Dagon University,Myanmar
Dahan Institute of Technology,Taiwan
Daido University,Japan
Daiichi Institute of Technology,Japan
Daiichi University of Pharmacy,Japan
Daito Bunka University,Japan
Dakota State University,United States
Dakota Wesleyan University,United States
Dakshina Bharat Hindi Prachar Sabha,India
Dalanj University,Sudan
Dalat University,Vietnam
Dalhousie University,Canada
Dali University,China
Dalian Art College,China
Dalian Jiaotong University,China
Dalian Maritime University,China
Dalian Medical University,China
Dalian Nationalities University,China
Dalian Neusoft University of Information,China
Dalian Ocean University,China
Dalian Polytechnic University,China
Dalian University,China
Dalian University of Finance and Economics,China
Dalian University of Foreign Languages,China
Dalian University of Science and Technology,China
Dalian University of Technology,China
Dallas Baptist University,United States
Dallas Christian College,United States
Dalton State College,United States
Damanhour University,Egypt
Damascus University,Syria
Damghan University,Iran
Damietta University,Egypt
Damodaram Sanjivayya National Law University,India
Dangara State University,Tajikistan
Danish Institute of Higher Education,Afghanistan
Dankook University,Korea
Danmarks Medie- og journalisthøjskole,Denmark
Danmarks Tekniske Universitet,Denmark
Danube Private University,Austria
Daqing Normal University,China
Dar Al Uloom University,Saudi Arabia
Dar Al-Hekma University,Saudi Arabia
Dar al-Kalima University College of Arts and Culture,Palestinian Territory
Dar Al-Salam International University for Science and Technology,Yemen
Darkhan Institute,Mongolia
Dartmouth College,United States
Data Link Institute,Ghana
Datta Meghe Institute of Medical Sciences,India
Daugavpils Universitate,Latvia
DAV University,India
Davangere University,India
Davao Doctors College,Philippines
Davenport University,United States
David Aghmashenebeli University of Georgia,Georgia
David Tvildiani Medical University,Georgia
Davidson College,United States
Davis and Elkins College,United States
Davis College,United States
Dawat University,Afghanistan
Dawei University,Myanmar
Dawood University of Engineering and Technology,Pakistan
Dayalbagh Educational Institute,India
Dayananda Sagar University,India
Da-Yeh University,Taiwan
Daystar University,Kenya
Daytona State College,United States
De Haagse Hogeschool,Netherlands
De La Salle Lipa,Philippines
De La Salle Medical and Health Sciences Institute,Philippines
De La Salle University,Philippines
De La Salle-College of Saint Benilde,Philippines
De Montfort University,United Kingdom
Deakin University,Australia
Dean College,United States
Debre Berhan University,Ethiopia
Debre Markos University,Ethiopia
Debre Tabor University,Ethiopia
Debreceni Egyetem,Hungary
Debreceni Református Hittudományi Egyetem,Hungary
Deccan College Post-Graduate and Research Institute,India
Dedan Kimathi University of Technology,Kenya
Deen Dayal Upadhyay Gorakhpur University,India
Deenbandhu Chhotu Ram University of Science and Technology,India
Defiance College,United States
Delaware State University,United States
Delaware Valley University,United States
Delhi Pharmaceutical Sciences and Research University,India
Delhi Technological University,India
Delta State University,United States
"Delta State University, Abraka",Nigeria
Delta University for Science and Technology,Egypt
Demiroglu Bilim Üniversitesi,Turkey
Democritus University of Thrace,Greece
Den Danske Scenekunstskole,Denmark
Den-en Chofu University,Japan
Denison University,United States
Denver College of Nursing,United States
DePaul University,United States
DePauw University,United States
Deraya University,Egypt
Des Moines University,United States
DeSales University,United States
Desh Bhagat University,India
Design Academy Eindhoven,Netherlands
Designskolen Kolding,Denmark
Det Jyske Musikkonservatorium,Denmark
"Det Kongelige Akademi - Arkitektur, Design, Konservering",Denmark
"Det Kongelige Danske Kunstakademi, Billedkunstskolerne",Denmark
Det Kongelige Danske Musikkonservatorium,Denmark
Det Teologiske Menighetsfakultet,Norway
Deutsche Hochschule für Gesundheit und Sport,Germany
Deutsche Sporthochschule Köln,Germany
Deutsche Universität für Verwaltungswissenschaften Speyer,Germany
Deutsch-Kasachische Universität,Kazakhstan
Dev Sanskriti Vishwavidyalaya,India
Devi Ahilya Vishwavidyalaya,India
DeVry University,United States
Dewey International University,Cambodia
Dezhou University,China
DHA Suffa University,Pakistan
Dhaka International University,Bangladesh
Dhaka University of Engineering and Technology,Bangladesh
Dharma Drum Institute of Liberal Arts,Taiwan
Dharma Realm Buddhist University,United States
